Title,Authors
Literature review of Industry 4.0 and related technologies,"E Oztemel, S Gursev - Journal of intelligent manufacturing, 2020 - Springer"
A manual of paper chromatography and paper electrophoresis,"RJ Block, EL Durrum, G Zweig - 2013 - books.google.com"
Instrument review: Getting the most from a panel of experts,"LL Davis - Applied nursing research, 1992 - Elsevier"
Resilience in business and management research: A review of influential publications and a research agenda,"MK Linnenluecke - International journal of management …, 2017 - Wiley Online Library"
Human resource management and performance: a review and research agenda,"DE Guest - International journal of human resource management, 1997 - Taylor & Francis"
Detection of sugars on paper chromatograms,"WE TREVELYAN, DP Procter, JS Harrison - Nature, 1950 - nature.com"
Review of particle physics,"RM Barnett, CD Carone, DE Groom, TG Trippe… - Physical Review D, 1996 - APS"
Nutrient requirements of swine,"National Research Council, Division on Earth… - 2012 - books.google.com"
Methodological challenges in qualitative content analysis: A discussion paper,"UH Graneheim, BM Lindgren, B Lundman - Nurse education today, 2017 - Elsevier"
Understanding Generation Y and their use of social media: a review and research agenda,"RN Bolton, A Parasuraman, A Hoefnagels… - Journal of service …, 2013 - emerald.com"
Review of particle physics,"J Beringer, JF Arguin, RM Barnett, K Copic, O Dahl… - Physical Review D …, 2012 - APS"
Review of particle physics,"DE Groom, M Aguilar-Benitez… - … Physical Journal C, 2000 - tohoku.elsevierpure.com"
How popular is your paper? An empirical study of the citation distribution,"S Redner - The European Physical Journal B-Condensed Matter …, 1998 - Springer"
"Now I see it, now I don't: Researcher's position and reflexivity in qualitative research","R Berger - Qualitative research, 2015 - journals.sagepub.com"
Implementation matters: A review of research on the influence of implementation on program outcomes and the factors affecting implementation,"JA Durlak, EP DuPre - American journal of community psychology, 2008 - Springer"
Missing data in educational research: A review of reporting practices and suggestions for improvement,"JL Peugh, CK Enders - Review of educational research, 2004 - journals.sagepub.com"
"Past, present and future of Industry 4.0-a systematic literature review and research agenda proposal","Y Liao, F Deschamps, EFR Loures… - … of production research, 2017 - Taylor & Francis"
Integrative review: what is it? How to do it?,"MT Souza, MD Silva, R Carvalho - Einstein (São Paulo), 2010 - SciELO Brasil"
Teaching courses online: A review of the research,"MK Tallent-Runnels, JA Thomas… - … research, 2006 - journals.sagepub.com"
Understanding child abuse and neglect,"National Research Council, Division of Behavioral… - 1993 - books.google.com"
Review of particle properties,"L Montanet, K Gieselmann, RM Barnett… - … Review D, 1994 - ui.adsabs.harvard.edu"
Cyanines during the 1990s: a review,"A Mishra, RK Behera, PK Behera, BK Mishra… - Chemical …, 2000 - ACS Publications"
More than 50 long-term effects of COVID-19: a systematic review and meta-analysis,"S Lopez-Leon, T Wegman-Ostrosky, C Perelman… - Scientific reports, 2021 - nature.com"
"The health of lesbian, gay, bisexual, and transgender people: Building a foundation for better understanding","…, Bisexual, Transgender Health Issues, Research Gaps… - 2011 - books.google.com"
What we know and don't know about corporate social responsibility: A review and research agenda,"H Aguinis, A Glavas - Journal of management, 2012 - journals.sagepub.com"
Methodology review: assessing unidimensionality of tests and ltenls,"J Hattie - Applied psychological measurement, 1985 - journals.sagepub.com"
Recommended dietary allowances,National Research Council… - 1989 - books.google.com
A guide to writing the dissertation literature review,"J Randolph - Practical assessment, research …, 2009 - openpublishing.library.umass.edu"
Darwin and facial expression: A century of research in review,P Ekman - 2006 - books.google.com
FAO Irrigation and drainage paper No. 56,"RG Allen, LS Pereira, D Raes, M Smith - Rome: food and agriculture …, 1998 - climasouth.eu"
Guide for the care and use of laboratory animals,"National Research Council, Division on Earth… - 2010 - books.google.com"
Review of particle physics,"Particle Data Group, PA Zyla, RM Barnett… - … of Theoretical and …, 2020 - academic.oup.com"
Review of particle physics,"S Eidelman, KG Hayes, KA Olive, M Aguilar-Benitez… - Physics letters B, 2004 - Elsevier"
Review of particle physics,"Particle Data Group, RL Workman… - … of theoretical and …, 2022 - academic.oup.com"
"How people learn: Brain, mind, experience, and school: Expanded edition","National Research Council, Division of Behavioral… - 2000 - books.google.com"
Treatment of pulp and paper mill wastewater—a review,"D Pokhrel, T Viraraghavan - Science of the total environment, 2004 - Elsevier"
Review of particle physics,"WM Yao - Journal of Physics G: Nuclear and Particle Physics, 2006 - iopscience.iop.org"
Review of particle properties,"GP Yost, RM Barnett, I Hinchliffe, GR Lynch… - Phys. Lett. B; …, 1988 - osti.gov"
Conducting a literature review,"J Rowley, F Slack - Management research news, 2004 - emerald.com"
Performance measurement system design: A literature review and research agenda,"A Neely, M Gregory, K Platts - International journal of …, 2005 - ingentaconnect.com"
"A framework for K-12 science education: Practices, crosscutting concepts, and core ideas","National Research Council, Division of Behavioral… - 2012 - books.google.com"
"Dengue: guidelines for diagnosis, treatment, prevention and control","…, Special Programme for Research… - 2009 - books.google.com"
Road paper. some theoretical aspects of road traffic research.,"JG Wardrop - Proceedings of the institution of civil engineers, 1952 - icevirtuallibrary.com"
ILAE classification of the epilepsies: Position paper of the ILAE Commission for Classification and Terminology,"IE Scheffer, S Berkovic, G Capovilla, MB Connolly… - …, 2017 - Wiley Online Library"
Does second language instruction make a difference? A review of research,"MH Long - TESOL quarterly, 1983 - Wiley Online Library"
Thermoelectrics: a review of present and potential applications,"SB Riffat, X Ma - Applied thermal engineering, 2003 - Elsevier"
Scholars before researchers: On the centrality of the dissertation literature review in research preparation,"DN Boote, P Beile - Educational researcher, 2005 - journals.sagepub.com"
Nutrient requirements of poultry: 1994,National Research Council… - 1994 - books.google.com
National science education standards,"National Research Council, Division of Behavioral… - 1995 - books.google.com"
Nutrient requirements of dairy cattle: 2001,National Research Council… - 2001 - books.google.com
