Title,Authors,Abstract,URL,Paper ID
Management of Ludwig's Angina in Pregnancy: A Review of 10 Cases,"O. Osunde, G. Bassey, N. Ver-or","Background: Ludwig′s angina is a rapidly spreading cellulitis that may produce upper airway obstruction often leading to death. Aim: The present paper reviews the management of Ludwig′s angina in the third trimester of pregnancy. The inherent dangers to the mother and her unborn child are highlighted. Materials and Methods: The case files of pregnant patients who had emergent incision and drainage for life-threatening facial cellulitis at the maxillofacial unit of the Murtala Mohammed Specialist Hospital in Kano, Nigeria, over a 2 year period were retrieved and demographic and clinical characteristics were retrospectively obtained and analyzed descriptively using the statistical package for social sciences (SPSS version 13.0, for Windows, September 2004, Chicago, Illinois). Comparative statistics were determined using Pearson′s Chi-square, Fisher′s exact tests and independent t tests as appropriate. A P value of less than 0.05 was considered significant. Results: A total of 10 patients were seen within the study period, age ranges from 23 to 40 years, mean 29.5 (5.3) years. Majority of the women were in their third decade [60% (6/10)] while the remaining 40% (4/10) were in their fourth decade of life. Two of the patients presented within the period of less than 1 week of onset of symptoms while those who presented within the periods of 1-2 weeks and periods of over 2 weeks accounted for 50% (5/10) and 30% (3/10) respectively. All the patients presented during the third trimester of their pregnancy and odontogenic infections were responsible for 80% (8/10) of the Ludwig′s angina. There were 20% mortality among the patients and this was significant for those with underlying systemic conditions (P = 0.02). The time of presentation was not significant for the survival rate of the gravid patient (P = 0.36) but was significant for survival of the fetus (P = 0.01). Conclusion: During a life-threatening infectious situation such as Ludwig′s angina, risks of maternal and fetal morbidity include both septicemia and asphyxia. Attending clinicians must consider the risks that the condition and the possible treatments may cause the mother and her unborn child.",https://www.semanticscholar.org/paper/6a154576ca6cc67d5285e626735b61051301034a,6a154576ca6cc67d5285e626735b61051301034a
"Why are women missing from outpatient cardiac rehabilitation programs? A review of multilevel factors affecting referral, enrollment, and completion.","L. Scott, K. Ben-Or, Jerilyn K. Allen","OBJECTIVES
The objectives of this paper are to (1) systematically review the evidence for patient, provider, and programmatic factors that may influence women's referral to, enrollment in, and completion of outpatient cardiac rehabilitation and (2) make empirically based recommendations for future women's health research.


METHODS
Using a defined inclusion/exclusion criteria, this review involved a systematic review and description analysis of the published peer-review literature.


RESULTS
The review yielded 23 studies described in 25 publications. Although gaps in the knowledge base exist and several methodological concerns limit the evidence, this body of work suggests that age, personal resources, low rates of physician referral, and weak recommendations to participate in rehabilitation may explain why women are missing from this life-saving intervention.


CONCLUSIONS
Practitioners engaged in the care of eligible cardiac patients should be aware of the evidence for the effectiveness of cardiac rehabilitation, and researchers should examine programmatic and provider factors that affect women's participation.",https://www.semanticscholar.org/paper/7405447cff3a44d66c0d590bded93326bf715eae,7405447cff3a44d66c0d590bded93326bf715eae
A review and comparison of hybrid and pull-type production control strategies,"J. Geraghty, C. Heavey",,https://www.semanticscholar.org/paper/eac330ee9cd20358f6b6a7e97779c4e4da665e3b,eac330ee9cd20358f6b6a7e97779c4e4da665e3b
Development of the UIUC aero testbed: A large-scale unmanned electric aerobatic aircraft for aerodynamics research,"Or D. Dantsker, Miles Johnson, M. Selig, T. Bretl",,https://www.semanticscholar.org/paper/2eaf22a4a7fbd44c4869f1529f928d908b69b9f0,2eaf22a4a7fbd44c4869f1529f928d908b69b9f0
"Assessment of Relationship Among Regional Economic Development Policy, Urban Development Policy and Public Policy","Asfika Sultana, Harun-or Rashid, Shahara Akter Eva, Arifin Sultana","This study mainly investigates the problems of public management from the two interdisciplinary approaches of regional economic development policy and urban development policy. A qualitative desk review approach has been adopted to contribute the debate and reach the objectives of the study. This study reveals that there is an integral relationship among regional economic development policy, urban development policy and public policy. It also introduces the main essence of regional economic development policy, the analysis of the research difficulties and causes, expounds the relationship and enlightenment between regional economic development policy research perspectives, approach and research methods of public management. It also highlights the relationship and enlightenment between the way and research method and the theory and practice of public management. This paper also analyzes the main similarity and differences between regional economic development policy and urban development policy and forward recommendations based on the findings.",https://www.semanticscholar.org/paper/d11b60e67ce35c0b386571397a02345ad957e465,d11b60e67ce35c0b386571397a02345ad957e465
Citespace Knowledge Gap Analysis in Asia Duty Free Tourism Purchasing Behavior,"Feng Hui, P. Loahavilai, N. Chakpitak, T. Chandarasupsang","The tourism shoppers’ purchasing behaviors have critical effects to economies, but there are few of comprehensive review that integrates and synthesis the finding of literature on tourism purchasing behavior systematic from past, present and future perspective. As the international tourists consuming volume have decreased in average, the purchasing behavior has changed into online, planned characters especially under the conflict from COVID 19, this paper tries to find the way to solve this problem for the tourism retailing industries development and the market demand. The methods of this paper is to use the theory of tourist classification and duty-free products classification for research shoppers’ sample identification and duty free products wish lists audition, customers purchasing methods is to analyze the gap, Citespace is used here to fill the gap with domain knowledge and visualize the finding of 150 papers on tourism purchasing behavior published from 2010 to 2020. The finding of this research is: i) Lotte, King Power, Dubai international duty free can be Asia representative research shops, Chinese international tourists can be the research target group; ii) Fragrances & cosmetic, wines & spirits, fashion & accessories and personal luxury goods can be selected as the 4 duty free products categories; iii) Chinese tourism shoppers have the purchasing gap between oversea and domestic products, both those kinds of products can be acquired online and offline; iv) Multiple emergent themes in the existing corpus, the theory of planned behavior and online communication are the key domain knowledge to fill this gap. So, a questionnaire is urgent to design based on this research result to find out the decision tree nodes and then compose the decision-making model for duty free industry and tourism shoppers effectively.",https://www.semanticscholar.org/paper/0daaf9471d16c9fa3856d7e4defb2b81181fa456,0daaf9471d16c9fa3856d7e4defb2b81181fa456
Cardioinformatics: the nexus of bioinformatics and precision cardiology,"B. Khomtchouk, Diem-Trang T. Tran, K. A. Vand, M. Might, O. Gozani, T. Assimes","Cardiovascular disease (CVD) is the leading cause of death worldwide, causing over 17 million deaths per year, which outpaces global cancer mortality rates. Despite these sobering statistics, most bioinformatics and computational biology research and funding to date has been concentrated predominantly on cancer research, with a relatively modest footprint in CVD. In this paper, we review the existing literary landscape and critically assess the unmet need to further develop an emerging field at the multidisciplinary interface of bioinformatics and precision cardiovascular medicine, which we refer to as 'cardioinformatics'.",https://www.semanticscholar.org/paper/9a8e787e4a277717e22895b981482bb645c8c0bc,9a8e787e4a277717e22895b981482bb645c8c0bc
Absolute or Relative : What do we need to know about moisture levels in historic building conservation?,T. Curteis,"While much of the research into moisture and buildings is about absolute values, in building conservation projects, relative values are both of more use and practical to obtain. This paper examines why this is the case and how low precision measurements can be usefully employed in conservation diagnostics and control. Peer-review under the responsibility of the organizing committee of the ICMB21.",https://www.semanticscholar.org/paper/77583b543f1a350b2ffeffacbc97e7a388eb1e27,77583b543f1a350b2ffeffacbc97e7a388eb1e27
High angle of attack flight of a subscale aerobatic aircraft,"Or D. Dantsker, M. Selig","This paper describes initial high angle of attack flight testing performed by a subscale aerobatic aircraft. A 35% scale, 2.6 m (102 in) wingspan Sukhoi 29 S electric aircraft, the UIUC Subscale Sukhoi, was developed and used for this research. The aircraft was instrumented with a custom 100 Hz sensor data acquisition system, which had been previously developed and tested. The aircraft was flown through several stalls and descending harrier maneuvers during which flight data was recorded by the sensor data acquisition system. The flight data recorded during the maneuvers was used to produce time histories of aircraft state and aerodynamic coefficients. A brief literature review of similar aerobatic unmanned aircraft used for high angle of attack research is first presented. Then a background and a description of the development of the aircraft are given along with specifications. Next, information about data analysis methods used to analyze flight test data is given. After that, initial test flight results are presented, including flight path trajectory plots, time histories and aircraft aerodynamic coefficient data. Finally a list of proposed future work is given.",https://www.semanticscholar.org/paper/be288b4d010ff84ed2530a2d0895943810122521,be288b4d010ff84ed2530a2d0895943810122521
The Concept of Industrial Enterprises’ Economic Development Amid the Global Financial and Economic Crisis,"A. Sozinova, T. Burtseva, O. Fokina, A. Grabar, Ekaterina S. Tufyakova",,https://www.semanticscholar.org/paper/bd54073b27421d595ba771889f13a3ae23c4e8b5,bd54073b27421d595ba771889f13a3ae23c4e8b5
Climate change and health in Israel: adaptation policies for extreme weather events,"Manfred S. Green, Noemie Groag Pri-or, G. Capeluto, Y. Epstein, S. Paz","Climatic changes have increased the world-wide frequency of extreme weather events such as heat waves, cold spells, floods, storms and droughts. These extreme events potentially affect the health status of millions of people, increasing disease and death. Since mitigation of climate change is a long and complex process, emphasis has recently been placed on the measures required for adaptation. Although the principles underlying these measures are universal, preparedness plans and policies need to be tailored to local conditions. In this paper, we conducted a review of the literature on the possible health consequences of extreme weather events in Israel, where the conditions are characteristic of the Mediterranean region. Strong evidence indicates that the frequency and duration of several types of extreme weather events are increasing in the Mediterranean Basin, including Israel. We examined the public health policy implications for adaptation to climate change in the region, and proposed public health adaptation policy options. Preparedness for the public health impact of increased extreme weather events is still relatively limited and clear public health policies are urgently needed. These include improved early warning and monitoring systems, preparedness of the health system, educational programs and the living environment. Regional collaboration should be a priority.",https://www.semanticscholar.org/paper/1f08a1f0b9ce98dbb0572e265d22a457eb2c8e83,1f08a1f0b9ce98dbb0572e265d22a457eb2c8e83
Approaches for periodic inventory control under random production yield and fixed setup cost,"G. Kiesmüller, K. Inderfurth",,https://www.semanticscholar.org/paper/d0b0581fea97364a276eae4b1b20f49991cbfc41,d0b0581fea97364a276eae4b1b20f49991cbfc41
"Use and Impact of HINARI: An Observation in Bangladesh with Special Reference to icddr, b","Md. Nazim Uddin, Md. Shafiur Rahman, Md. Harun-Or-Rashid Khandaker, M. Al Mamun, S. M. Mannan, Jean Sack, Christine Dennehy","This paper analyses the impact of the use of electronic resources and Health InterNetwork Access to Research Initiative (HINARI) services for medical research libraries in Bangladesh, emphasising the International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b). Purposeful use of e-resources, time and cost-saving benefits, research impact, and challenges of using HINARI are discussed. The basic study was conducted at icddr,b in January–February 2014, using a mixed methodology, combining qualitative and quantitative approaches, including a background literature review, usage data shared from the HINARI secretariat at the World Health Organization (WHO), questionnaires, personal observations, and interviews with staff members of icddr,b. Findings revealed that icddr,b is the heaviest user of HINARI (a major source of public health and medical e-resources) in Bangladesh, with demonstrable increases of health research journal articles after introducing HINARI in 2003.",https://www.semanticscholar.org/paper/1244d629247fdeeb9cbf044f716c08650142ff53,1244d629247fdeeb9cbf044f716c08650142ff53
Understanding Psychological Well-Being From the Behavioral Perspective,J. Or,,https://www.semanticscholar.org/paper/7e7e5ac12a74da39d81881b52bba915ed65e00d4,7e7e5ac12a74da39d81881b52bba915ed65e00d4
"Morphology tailoring of nano/micro-structured conductive polymers, composites and their applications in chemical sensors.","Xingfa(or X.) Ma, M. Gao, X. He, Guang Li","Conductive polymer is one of the important multi-functional materials. It has many applications in light-emitting diodes, chemical sensors, biosensors, et al. This paper provides a relatively comprehensive review on the progress of conductive polymer and composite as sensitive film for sensors to chemical vapors including patents, papers and our preliminary research results. Especially, the feature of conjugated polymers, the processing technology, doping characteristics and some factors affecting gas responses are discussed. Otherwise, the developments of nanostructured conductive polymer and organic-inorganic hybrid film sensor with high sensitivity and rapid response to vapors are also described, and some suggestions are proposed.",https://www.semanticscholar.org/paper/e09c8caeeef57840696fbe702a2b5a2ad20844a4,e09c8caeeef57840696fbe702a2b5a2ad20844a4
Line planning in public transportation: models and methods,A. Schöbel,"The problem of defining suitable lines in a public transportation system (bus, railway, tram, or underground) is an important real-world problem that has also been well researched in theory. Driven by applications, it often lacks a clear description, but is rather stated in an informal way. This leads to a variety of different published line planning models. In this paper, we introduce some of the basic line planning models, identify their characteristics, and review literature on models, mathematical approaches, and algorithms for line planning. Moreover, we point out related topics as well as current and future directions of research.",https://www.semanticscholar.org/paper/3139b930beabb15b1387e53845c3b4acd040cf34,3139b930beabb15b1387e53845c3b4acd040cf34
