Title,Authors,CleanedTitle,CleanedAuthors,Content,Topic,TopicName
Understanding Generation Y and their use of social media: a review and research agenda,"RN Bolton, A Parasuraman, A Hoefnagels…",understanding generation use social medium review research agenda,"RN Bolton, A Parasuraman, A Hoefnagels…",understanding generation use social medium review research agenda,0,0_research_review_agenda_education
Review of particle physics,"J Beringer, JF Arguin, RM Barnett, K Copic, O Dahl…",review particle physic,"J Beringer, JF Arguin, RM Barnett, K Copic, O Dahl…",review particle physic,1,1_paper_physic_particle_review
Review of particle physics,"DE Groom, M Aguilar",review particle physic,"DE Groom, M Aguilar",review particle physic,1,1_paper_physic_particle_review
How popular is your paper ? An empirical study of the citation distribution,S Redner,popular paper empirical study citation distribution,S Redner,popular paper empirical study citation distribution,0,0_research_review_agenda_education
A review of micropumps,"DJ Laser, JG Santiago",review micropumps,"DJ Laser, JG Santiago",review micropumps,1,1_paper_physic_particle_review
Rotaviruses: a review,"MK Estes, EL Palmer, JF Obijeski",rotavirus review,"MK Estes, EL Palmer, JF Obijeski",rotavirus review,1,1_paper_physic_particle_review
Paper a 20,"JW Rouse Jr, RH Haas, JA Schell…",paper 20,"JW Rouse Jr, RH Haas, JA Schell…",paper 20,1,1_paper_physic_particle_review
How to research,"L Blaxter, C Hughes, M Tight",research,"L Blaxter, C Hughes, M Tight",research,0,0_research_review_agenda_education
A new review of the chlorites,MH Hey,new review chlorite,MH Hey,new review chlorite,1,1_paper_physic_particle_review
Paper electronics,"D Tobjörk, R Österbacka",paper electronics,"D Tobjörk, R Österbacka",paper electronics,1,1_paper_physic_particle_review
The chemistry of paper,JC Roberts,chemistry paper,JC Roberts,chemistry paper,1,1_paper_physic_particle_review
Mixed methods research : A research paradigm whose time has come,"RB Johnson, AJ Onwuegbuzie",mixed method research research paradigm whose time come,"RB Johnson, AJ Onwuegbuzie",mixed method research research paradigm whose time come,0,0_research_review_agenda_education
Cluster analysis in marketing research : Review and suggestions for application,"G Punj, DW Stewart",cluster analysis marketing research review suggestion application,"G Punj, DW Stewart",cluster analysis marketing research review suggestion application,0,0_research_review_agenda_education
Interacting with paper on the DigitalDesk,P Wellner,interacting paper digitaldesk,P Wellner,interacting paper digitaldesk,1,1_paper_physic_particle_review
The health effects of cannabis and cannabinoids: the current state of evidence and recommendations for research,"…, An Evidence Review, Research Agenda",health effect cannabis cannabinoids current state evidence recommendation research,"…, An Evidence Review, Research Agenda",health effect cannabis cannabinoids current state evidence recommendation research,0,0_research_review_agenda_education
Note on a paper of John W. Miles,LN Howard,note paper john w. mile,LN Howard,note paper john w. mile,1,1_paper_physic_particle_review
Margins: A Research Initiative for Interdisciplinary Studies of the Processes Attending Lithospheric Extension and Convergence,"National Research Council, Division on Engineering…",margin research initiative interdisciplinary study process attending lithospheric extension convergence,"National Research Council, Division on Engineering…",margin research initiative interdisciplinary study process attending lithospheric extension convergence,0,0_research_review_agenda_education
The network paradigm in organizational research : A review and typology,"SP Borgatti, PC Foster",network paradigm organizational research review typology,"SP Borgatti, PC Foster",network paradigm organizational research review typology,0,0_research_review_agenda_education
"Relieving pain in America: a blueprint for transforming prevention, care, education, and research","…, Committee on Advancing Pain Research…",relieving pain america blueprint transforming prevention care education research,"…, Committee on Advancing Pain Research…",relieving pain america blueprint transforming prevention care education research,0,0_research_review_agenda_education
Online education and its effective practice: A research review .,"A Sun, X Chen",online education effective practice research review,"A Sun, X Chen",online education effective practice research review,0,0_research_review_agenda_education
"Digital marketing: A framework, review and research agenda",PK Kannan,digital marketing framework review research agenda,PK Kannan,digital marketing framework review research agenda,0,0_research_review_agenda_education
Research review /teacher learning: What matters,L Darling,research review /teacher learning matter,L Darling,research review /teacher learning matter,0,0_research_review_agenda_education
Literature review as a research methodology: An overview and guidelines,H Snyder,literature review research methodology overview guideline,H Snyder,literature review research methodology overview guideline,0,0_research_review_agenda_education
Effective schools: A review,"SC Purkey, MS Smith",effective school review,"SC Purkey, MS Smith",effective school review,0,0_research_review_agenda_education
A review of research on project-based learning,JW Thomas,review research project-based learning,JW Thomas,review research project-based learning,0,0_research_review_agenda_education
A review on yolov8 and its advancements,"M Sohan, T Sai Ram, CV Rami Reddy",review yolov8 advancement,"M Sohan, T Sai Ram, CV Rami Reddy",review yolov8 advancement,1,1_paper_physic_particle_review
Conducting research literature reviews: From the internet to paper,A Fink,conducting research literature review internet paper,A Fink,conducting research literature review internet paper,0,0_research_review_agenda_education
The health effects of cannabis and cannabinoids: the current state of evidence and recommendations for research,"…, An Evidence Review, Research Agenda",health effect cannabis cannabinoids current state evidence recommendation research,"…, An Evidence Review, Research Agenda",health effect cannabis cannabinoids current state evidence recommendation research,0,0_research_review_agenda_education
Note on a paper of John W. Miles,LN Howard,note paper john w. mile,LN Howard,note paper john w. mile,1,1_paper_physic_particle_review
Margins: A Research Initiative for Interdisciplinary Studies of the Processes Attending Lithospheric Extension and Convergence,"National Research Council, Division on Engineering…",margin research initiative interdisciplinary study process attending lithospheric extension convergence,"National Research Council, Division on Engineering…",margin research initiative interdisciplinary study process attending lithospheric extension convergence,0,0_research_review_agenda_education
The network paradigm in organizational research : A review and typology,"SP Borgatti, PC Foster",network paradigm organizational research review typology,"SP Borgatti, PC Foster",network paradigm organizational research review typology,0,0_research_review_agenda_education
"Relieving pain in America: a blueprint for transforming prevention, care, education, and research","…, Committee on Advancing Pain Research…",relieving pain america blueprint transforming prevention care education research,"…, Committee on Advancing Pain Research…",relieving pain america blueprint transforming prevention care education research,0,0_research_review_agenda_education
Online education and its effective practice: A research review .,"A Sun, X Chen",online education effective practice research review,"A Sun, X Chen",online education effective practice research review,0,0_research_review_agenda_education
"Digital marketing: A framework, review and research agenda",PK Kannan,digital marketing framework review research agenda,PK Kannan,digital marketing framework review research agenda,0,0_research_review_agenda_education
